0
 AU12_c
 AU04_c
 AU12_r
 AU04_r
 AU05_c
 AU14_c
 AU06_c
 p_2
 AU10_c
 AU14_r
 AU06_r
 AU07_r
 p_8
 AU10_r
 p_7
 p_0
 p_6
 p_23
 p_10
 p_24
 p_12
 AU25_r
 AU09_r
 AU01_r
 AU17_r
 AU26_r
 p_11
 p_9
 p_20
 p_5
 p_13
 p_30
 AU45_r
 AU15_c
 p_19
 p_16
 AU20_r
 p_4
 AU05_r
 p_26
 p_3
 AU23_r
 AU15_r
 p_21
 p_25
 p_15
 p_22
 p_32
 AU02_r
 p_18
